!------------------------------------------------------------
!      2  FF.PIP00B
!#-----------------------------
! Step index:   0
! S-position:    0.000000
!         Z   Charge/Meter    CSR_Kick/m       I_CSR/m      S_Source
  0.0004763247  2.945536E-08  0.000000E+00 -0.000000E+00 -4.811512E+01
  0.0006311962  2.640035E-08  0.000000E+00 -0.000000E+00 -5.020752E+01
  0.0007860677  2.305801E-08  0.000000E+00 -0.000000E+00 -5.229991E+01
  0.0009409392  1.987959E-08  0.000000E+00 -0.000000E+00 -5.439231E+01
  0.0010958107  1.631056E-08  0.000000E+00 -0.000000E+00 -5.648471E+01
  0.0012506822  1.323942E-08  0.000000E+00 -0.000000E+00 -5.857710E+01
  0.0014055537  1.001855E-08  0.000000E+00 -0.000000E+00 -6.066950E+01
  0.0015604252  7.822311E-09  0.000000E+00 -0.000000E+00 -6.276190E+01
  0.0017152967  5.782586E-09  0.000000E+00 -0.000000E+00 -6.485429E+01
  0.0018701682  4.125199E-09  0.000000E+00 -0.000000E+00 -6.694669E+01
  0.0020250397  2.858318E-09  0.000000E+00 -0.000000E+00 -6.903909E+01
  0.0021799112  1.939823E-09  0.000000E+00 -0.000000E+00 -7.113148E+01
  0.0023347827  1.252117E-09  0.000000E+00 -0.000000E+00 -7.322388E+01
  0.0024896542  8.161092E-10  0.000000E+00 -0.000000E+00 -7.531627E+01
  0.0026445257  4.699513E-10  0.000000E+00 -0.000000E+00 -7.740867E+01
  0.0027993972  3.938200E-10  0.000000E+00 -0.000000E+00 -7.950107E+01
  0.0029542687  6.214778E-11  0.000000E+00 -0.000000E+00 -8.159346E+01
  0.0031091402  0.000000E+00  0.000000E+00 -0.000000E+00 -8.368586E+01
!#-----------------------------
! Step index:   2
! S-position:    0.020000
!         Z   Charge/Meter    CSR_Kick/m       I_CSR/m      S_Source
 -0.0029308480  0.000000E+00  0.000000E+00 -0.000000E+00 -2.072394E+00
 -0.0027759766  6.214784E-11  0.000000E+00 -0.000000E+00 -4.164789E+00
 -0.0026211053  5.083888E-10  0.000000E+00 -0.000000E+00 -6.257183E+00
 -0.0024662340  8.897378E-10  0.000000E+00 -0.000000E+00 -8.349577E+00
 -0.0023113626  1.396902E-09  0.000000E+00 -0.000000E+00 -1.044197E+01
 -0.0021564913  2.093117E-09  0.000000E+00 -0.000000E+00 -1.253437E+01
 -0.0020016199  3.116200E-09  0.000000E+00 -0.000000E+00 -1.462676E+01
 -0.0018467486  4.399179E-09  0.000000E+00 -0.000000E+00 -1.671915E+01
 -0.0016918773  5.811949E-09  0.000000E+00 -0.000000E+00 -1.881155E+01
 -0.0015370059  8.229390E-09  0.000000E+00 -0.000000E+00 -2.090394E+01
 -0.0013821346  1.061253E-08  0.000000E+00 -0.000000E+00 -2.299634E+01
 -0.0012272633  1.393218E-08  0.000000E+00 -0.000000E+00 -2.508873E+01
 -0.0010723919  1.695694E-08  0.000000E+00 -0.000000E+00 -2.718113E+01
 -0.0009175206  2.026895E-08  0.000000E+00 -0.000000E+00 -2.927352E+01
 -0.0007626492  2.397880E-08  0.000000E+00 -0.000000E+00 -3.136592E+01
 -0.0006077779  2.709443E-08  0.000000E+00 -0.000000E+00 -3.345831E+01
 -0.0004529066  2.990312E-08  0.000000E+00 -0.000000E+00 -3.555070E+01
 -0.0002980352  3.206850E-08  0.000000E+00 -0.000000E+00 -3.764310E+01
 -0.0001431639  3.339809E-08  0.000000E+00 -0.000000E+00 -3.973549E+01
  0.0000117075  3.373802E-08  0.000000E+00 -0.000000E+00 -4.182789E+01
  0.0001665788  3.324873E-08  0.000000E+00 -0.000000E+00 -4.392028E+01
  0.0003214501  3.159499E-08  0.000000E+00 -0.000000E+00 -4.601268E+01
  0.0004763215  2.945539E-08  0.000000E+00 -0.000000E+00 -4.810507E+01
  0.0006311928  2.640036E-08  0.000000E+00 -0.000000E+00 -5.019746E+01
  0.0007860642  2.305803E-08  0.000000E+00 -0.000000E+00 -5.228986E+01
  0.0009409355  1.987958E-08  0.000000E+00 -0.000000E+00 -5.438225E+01
  0.0010958068  1.631063E-08  0.000000E+00 -0.000000E+00 -5.647465E+01
  0.0012506782  1.323953E-08  0.000000E+00 -0.000000E+00 -5.856704E+01
  0.0014055495  1.001854E-08  0.000000E+00 -0.000000E+00 -6.065944E+01
  0.0015604208  7.822344E-09  0.000000E+00 -0.000000E+00 -6.275183E+01
  0.0017152922  5.782642E-09  0.000000E+00 -0.000000E+00 -6.484423E+01
  0.0018701635  4.125204E-09  0.000000E+00 -0.000000E+00 -6.693662E+01
  0.0020250349  2.858334E-09  0.000000E+00 -0.000000E+00 -6.902901E+01
  0.0021799062  1.939858E-09  0.000000E+00 -0.000000E+00 -7.112141E+01
  0.0023347775  1.252117E-09  0.000000E+00 -0.000000E+00 -7.321380E+01
  0.0024896489  8.161146E-10  0.000000E+00 -0.000000E+00 -7.530620E+01
  0.0026445202  4.699634E-10  0.000000E+00 -0.000000E+00 -7.739859E+01
  0.0027993916  3.938238E-10  0.000000E+00 -0.000000E+00 -7.949099E+01
  0.0029542629  6.214784E-11  0.000000E+00 -0.000000E+00 -8.158338E+01
  0.0031091342  0.000000E+00  0.000000E+00 -0.000000E+00 -8.367577E+01
!#-----------------------------
! Step index:   3
! S-position:    0.030000
!         Z   Charge/Meter    CSR_Kick/m       I_CSR/m      S_Source
 -0.0029308477  0.000000E+00  0.000000E+00 -0.000000E+00 -2.062392E+00
 -0.0027759766  6.214791E-11  0.000000E+00 -0.000000E+00 -4.154784E+00
 -0.0026211054  5.083929E-10  0.000000E+00 -0.000000E+00 -6.247177E+00
 -0.0024662342  8.897462E-10  0.000000E+00 -0.000000E+00 -8.339569E+00
 -0.0023113630  1.396909E-09  0.000000E+00 -0.000000E+00 -1.043196E+01
 -0.0021564918  2.093138E-09  0.000000E+00 -0.000000E+00 -1.252435E+01
 -0.0020016207  3.116205E-09  0.000000E+00 -0.000000E+00 -1.461675E+01
 -0.0018467495  4.399190E-09  0.000000E+00 -0.000000E+00 -1.670914E+01
 -0.0016918783  5.811916E-09  0.000000E+00 -0.000000E+00 -1.880153E+01
 -0.0015370071  8.229415E-09  0.000000E+00 -0.000000E+00 -2.089392E+01
 -0.0013821359  1.061259E-08  0.000000E+00 -0.000000E+00 -2.298631E+01
 -0.0012272648  1.393214E-08  0.000000E+00 -0.000000E+00 -2.507871E+01
 -0.0010723936  1.695692E-08  0.000000E+00 -0.000000E+00 -2.717110E+01
 -0.0009175224  2.026903E-08  0.000000E+00 -0.000000E+00 -2.926349E+01
 -0.0007626512  2.397877E-08  0.000000E+00 -0.000000E+00 -3.135588E+01
 -0.0006077800  2.709443E-08  0.000000E+00 -0.000000E+00 -3.344828E+01
 -0.0004529089  2.990316E-08  0.000000E+00 -0.000000E+00 -3.554067E+01
 -0.0002980377  3.206848E-08  0.000000E+00 -0.000000E+00 -3.763306E+01
 -0.0001431665  3.339802E-08  0.000000E+00 -0.000000E+00 -3.972545E+01
  0.0000117047  3.373804E-08  0.000000E+00 -0.000000E+00 -4.181784E+01
  0.0001665758  3.324881E-08  0.000000E+00 -0.000000E+00 -4.391024E+01
  0.0003214470  3.159495E-08  0.000000E+00 -0.000000E+00 -4.600263E+01
  0.0004763182  2.945542E-08  0.000000E+00 -0.000000E+00 -4.809502E+01
  0.0006311894  2.640037E-08  0.000000E+00 -0.000000E+00 -5.018741E+01
  0.0007860606  2.305805E-08  0.000000E+00 -0.000000E+00 -5.227981E+01
  0.0009409317  1.987958E-08  0.000000E+00 -0.000000E+00 -5.437220E+01
  0.0010958029  1.631070E-08  0.000000E+00 -0.000000E+00 -5.646459E+01
  0.0012506741  1.323964E-08  0.000000E+00 -0.000000E+00 -5.855698E+01
  0.0014055453  1.001854E-08  0.000000E+00 -0.000000E+00 -6.064937E+01
  0.0015604165  7.822376E-09  0.000000E+00 -0.000000E+00 -6.274177E+01
  0.0017152876  5.782699E-09  0.000000E+00 -0.000000E+00 -6.483416E+01
  0.0018701588  4.125208E-09  0.000000E+00 -0.000000E+00 -6.692655E+01
  0.0020250300  2.858350E-09  0.000000E+00 -0.000000E+00 -6.901894E+01
  0.0021799012  1.939894E-09  0.000000E+00 -0.000000E+00 -7.111134E+01
  0.0023347724  1.252116E-09  0.000000E+00 -0.000000E+00 -7.320373E+01
  0.0024896435  8.161200E-10  0.000000E+00 -0.000000E+00 -7.529612E+01
